location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Absecon Island: Atlantic City,NJ,2013,39.357595,-74.421816,Federal,Emergency,,760000.00,11273117.00,1.00,11273117.00,14.83,#DIV/0!
Avalon,NJ,2013,39.098428,-74.711459,Federal,Emergency,5000.00,75000.00,2150543.00,1.00,2150543.00,28.67,15.00
Avalon,NJ,2013,39.098428,-74.711459,Federal,Emergency,,46359.00,418984.20,1.00,418984.20,9.04,#DIV/0!
Bald Head Island,NC,2013,33.855876,-77.999067,Federal,Navigation,12000.00,1800000.00,15234166.00,1.00,15234166.00,8.46,150.00
Bethany/South Bethany Beach,DE,2013,38.539808,-75.053873,Federal,Emergency,11000.00,476000.00,6662452.00,1.00,6662452.00,14.00,43.27
Brigantine,NJ,2013,39.405826,-74.362421,Federal,Emergency,9504.00,667000.00,4500000.00,1.00,4500000.00,6.75,70.18
Brigantine,NJ,2013,39.405826,-74.362421,Federal,Emergency,,90000.00,1377551.00,1.00,1377551.00,15.31,#DIV/0!
Carolina Beach,NC,2013,34.038772,-77.888904,Federal,Shore Protection,14256.00,900000.00,5291166.00,1.00,5291166.00,5.88,63.13
Coney Island,NY,2013,40.572843,-73.978114,Federal,Emergency,4000.00,600000.00,7229450.00,1.00,7229450.00,12.05,150.00
Emerald Isle,NC,2013,34.658308,-77.041197,Federal,Emergency,21989.00,157073.00,3727022.00,1.00,3727022.00,23.73,7.14
Emerald Isle,NC,2013,34.658308,-77.041197,Local,Shore Protection,21989.00,472230.00,4294619.00,1.00,4294619.00,9.09,21.48
Fenwick Island,DE,2013,38.462461,-75.049388,Federal,Emergency,6500.00,389000.00,4474575.00,1.00,4474575.00,11.50,59.85
Figure Eight Island - South End,NC,2013,34.252534,-77.758791,Private,Navigation,0.00,300000.00,2178600.00,1.00,2178600.00,7.26,#DIV/0!
Folly Beach Spit,SC,2013,32.6504324,-79.96338,State,Unknown,1950.00,415000.00,3000000.00,1.00,3000000.00,7.23,212.82
Gilgo Beach,NY,2013,40.617373,-73.397169,Federal,Emergency,0.00,1200000.00,15258000.00,1.00,15258000.00,12.72,#DIV/0!
Gulf Shores/Orange Beach/Gulf State Park,AL,2013,30.251653,-87.654691,Federal,Emergency,77000.00,2200000.00,16000000.00,1.00,16000000.00,7.27,28.57
Kure Beach,NC,2013,33.995750,-77.906199,Federal,Shore Protection,18005.00,432000.00,5717216.00,1.00,5717216.00,13.23,23.99
Lower Cape May Meadows – Cape May Point,NJ,2013,38.931038,-74.9581,Federal,Shore Protection,7000.00,300000.00,7497000.00,1.00,7497000.00,24.99,42.86
North Indian River Inlet,DE,2013,38.606274,-75.061169,Federal,Emergency,,521000.00,6589500.00,1.00,6589500.00,12.65,#DIV/0!
North Topsail Beach,NC,2013,34.524308,-77.347054,Local,Shore Protection,7700.00,566000.00,5711260.00,1.00,5711260.00,10.09,73.51
Ocean City,MD,2013,38.38392,-75.06237,Federal,Emergency,,850000.00,14295950.00,1.00,14295950.00,16.82,#DIV/0!
Ocean City,NJ,2013,39.264158,-74.589958,Federal,Emergency,,746200.00,5467700.00,1.00,5467700.00,7.33,#DIV/0!
Ocean City,NJ,2013,39.264158,-74.589958,Federal,Shore Protection,12144.00,1000000.00,11993000.00,1.00,11993000.00,11.99,82.35
Ocean City,NJ,2013,39.264158,-74.589958,Local,Shore Protection,4487.00,90000.00,1100000.00,1.00,1100000.00,12.22,20.06
